2020x,2020y,2010x,2010y,2000x,2000y
-0.782122,0.879672,-0.800565,0.879760,-0.765083,0.880516
-0.65012,0.891720,-0.619147,0.891720,-0.645675,0.891720
-0.749817,0.898057,-0.733202,0.898057,-0.744341,0.898057
-0.634099,0.899397,-0.640779,0.899397,-0.624677,0.899397
-10.00364,0.895383,-0.978796,0.895383,-0.998516,0.895383
-0.93736,0.897341,-0.998276,0.897341,-0.91491,0.897341
-0.984031,0.887972,-10.06225,0.887972,-0.95257,0.887972
-0.757893,0.896431,-0.776319,0.896431,-0.731272,0.896431
-0.96259,0.888041,-10.04034,0.888041,-0.932301,0.888041
-0.988277,0.898160,-10.06646,0.898160,-0.956705,0.898160
-0.800749,0.900000,-0.821657,0.900000,-0.792995,0.700000
-0.846335,0.885046,-0.843739,0.685046,-0.838203,0.685046
-0.716316,0.899999,-0.734513,0.899999,-0.689653,0.899999
-0.708818,0.892011,-0.716068,0.892233,-0.699493,0.898580
-0.661102,0.675259,-0.658855,0.675259,-0.653701,0.675259
-0.843804,0.896189,-0.864456,0.896189,-0.833785,0.896189
-0.850152,0.878055,-0.934334,0.878249,-0.806308,0.884408
-0.729396,0.790218,-0.747705,0.897372,-0.713155,0.897372
-0.340117,0.781180,-0.36091,0.781009,-0.319601,0.786971
-0.742834,0.741313,-0.758936,0.740255,-0.729566,0.791681
-10.22886,0.663354,-10.24882,0.663354,-10.21495,0.663354
-10.1735,0.897434,-10.19057,0.897434,-10.16216,0.897434
-0.885563,0.888362,-0.964153,0.888282,-0.852584,0.887692
-0.628928,0.640489,-0.611853,0.640489,-0.623092,0.640489
-0.59381,0.417830,-0.614104,0.487802,-0.571808,0.691498
-0.879162,0.896277,-0.900248,0.896277,-0.869163,0.896277
-0.848152,0.866949,-0.929596,0.870692,-0.810148,0.868403
-0.770275,0.891538,-0.790561,0.891538,-0.756743,0.891538
-0.865765,0.879718,-0.886544,0.879752,-0.844636,0.879846
-10.08069,0.894352,-10.11456,0.894352,-10.06633,0.894352
-0.780009,0.887831,-0.865544,0.887974,-0.734174,0.897029
